Site,Species,Worm,Deer,Dry.Year.gm2,Standard.exchange.P.20,Standard.Total.P.20,SoilN.20Pool,P.Exch.Conc  ,P.Total.Conc  ,SoilN,Height,Dry.mass.above,Survival,L.4.L,Arbuscules,Vesicles,Coil,DSE,DSE.binomial,All.Mycorhizae,Arb.Ves
RW,Prenanthes,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,6.1,0.01,0.25,0.266452508,2,0,38,0,0,40,1
RW,Prenanthes,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,9.3,,0.25,,,,,,,,   
RW,Prenanthes,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,9.5,,0.25,,,,,,,,   
RW,Prenanthes,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,11.2,,0.25,,,,,,,,   
CH,Prenanthes,1,1,,,,,,,,7.7,0.04,0.75,0.487204151,7,6,10,0,0,17,0.74
CH,Prenanthes,1,1,,,,,,,,5.2,0.05,0.75,0.679482252,0,10,23,8,8,23,0.7
CH,Prenanthes,1,1,,,,,,,,9.2,0.04,0.75,0.645844313,0,1,1,5,5,1,0.5
CH,Prenanthes,1,1,,,,,,,,7,,0.75,,,,,,,,   
CH,Prenanthes,1,0,,,,,,,,6.8,0.03,0.75,0.527820316,0,2,3,9,9,3,0.6
CH,Prenanthes,1,0,,,,,,,,9.1,0.17,0.75,0.59693234,0,14,41,16,16,41,0.75
CH,Prenanthes,1,0,,,,,,,,10.8,0.05,0.75,0.603407319,14,23,25,2,2,39,0.63
CH,Prenanthes,1,0,,,,,,,,6.5,0.04,0.75,,,,,,,,   
CH,Prenanthes,0,1,,,,,,,,11.6,0.02,0.75,0.470508548,2,3,8,11,11,10,0.77
CH,Prenanthes,0,1,,,,,,,,8,0.02,0.75,0.408454869,0,1,0,8,8,0,0
CH,Prenanthes,0,1,,,,,,,,8,0.04,0.75,0.670495399,10,8,12,0,0,22,0.73
CH,Prenanthes,0,1,,,,,,,,9.7,,0.75,,,,,,,,   
CH,Prenanthes,0,0,,,,,,,,12,0.2,0.75,0.580195606,0,1,0,28,28,0,0
CH,Prenanthes,0,0,,,,,,,,9.4,0.03,0.75,0.53840705,0,2,4,5,5,4,0.67
CH,Prenanthes,0,0,,,,,,,,8,0.05,0.75,0.187183146,0,1,7,18,18,7,0.88
CH,Prenanthes,0,0,,,,,,,,9.7,,0.75,,,,,,,,   
HH,Prenanthes,1,1,,,,,,,,6.2,0.01,0.25,0.420789609,2,7,21,0,0,23,0.77
HH,Prenanthes,1,1,,,,,,,,6.6,,0.25,,,,,,,,   
HH,Prenanthes,1,1,,,,,,,,10.2,,0.25,,,,,,,,   
HH,Prenanthes,1,1,,,,,,,,8,,0.25,,,,,,,,   
HH,Prenanthes,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,9.5,0.01,0.5,0.451573412,3,16,44,13,13,47,0.75
HH,Prenanthes,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,5.7,0.06,0.5,0.672558702,2,9,14,2,2,16,0.64
HH,Prenanthes,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,6.1,,0.5,,,,,,,,   
HH,Prenanthes,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,3.2,,0.5,,,,,,,,   
HH,Prenanthes,0,1,,,,,,,,9.2,0.01,0.5,0.788521843,1,8,34,6,6,35,0.81
HH,Prenanthes,0,1,,,,,,,,8.4,0.05,0.5,0.623891772,,,,,,,   
HH,Prenanthes,0,1,,,,,,,,7.5,,0.5,,,,,,,,   
HH,Prenanthes,0,1,,,,,,,,6.5,,0.5,,,,,,,,   
HH,Prenanthes,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,6.2,0.03,0.75,0.739044855,12,9,22,18,18,34,0.79
HH,Prenanthes,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,9.8,0.02,0.75,0.51390467,13,16,25,7,7,38,0.7
HH,Prenanthes,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,13.8,0.02,0.75,0.347635276,0,0,0,10,10,0,   
HH,Prenanthes,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,7.7,,0.75,,,,,,,,   
YB,Prenanthes,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,8,0.02,0.5,0.399830845,1,7,6,2,2,7,0.5
YB,Prenanthes,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,7.7,0.02,0.5,0.557739285,2,5,23,15,15,25,0.83
YB,Prenanthes,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,6,,0.5,,,,,,,,   
YB,Prenanthes,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,8,,0.5,,,,,,,,   
YB,Prenanthes,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,8.2,,0,,,,,,,,   
YB,Prenanthes,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,12.8,,0,,,,,,,,   
